level_0,index,id,name,start_date,distance,elapsed_time,moving_time,average_speed,max_speed,average_cadence,average_watts,average_heartrate,max_heartrate,calories,commute,has_heartrate,total_elevation_gain,achievement_count,date_pulled,distance_mean,moving_time_mean,average_speed_mean,max_speed_mean,average_watts_mean,average_heartrate_mean,max_heartrate_mean,total_elevation_gain_mean,distance_rel_effort,moving_time_rel_effort,average_speed_rel_effort,max_speed_rel_effort,average_watts_rel_effort,average_heartrate_rel_effort,max_heartrate_rel_effort,total_elevation_gain_rel_effort,painmeter
301,1,2742944159,Evening Commute: 9/26/2019,2019-09-27 03:16:41+00:00,3.87,997,997,13.96074254,23.264176000000006,,105.1,123.4,141.0,,True,True,137.467196,0,04/20/2020 08:45:09 PM ET,4.413411764705877,1192.2666666666667,13.438482842352942,25.137942211764702,96.01490196078431,128.59323671497583,153.90821256038646,168.9516805647058,0.8768726342165601,0.836222321628271,1.0388629954566817,0.9254606365159133,1.0946217498917652,0.9596150089410493,0.9161304497944067,0.8136479941515128,0.9326792238245201
302,1,2757167461,Morning Commute: 10/2/2019,2019-10-02 13:38:34+00:00,2.45,865,725,12.168953600000002,24.382645999999998,,48.5,116.2,133.0,,True,True,0.0,0,04/20/2020 08:45:09 PM ET,4.405742187499995,1190.44140625,13.43352374375,25.134991835937498,95.829296875,128.53365384615384,153.80769230769232,168.29171306249992,0.5560924574640701,0.60901779473869,0.905864599052922,0.9700677907178863,0.5061082735821754,0.9040433888161586,0.8647161790447612,0.0,0.664488810427083
303,1,2758380015,Evening Commute: 10/2/2019,2019-10-02 22:50:02+00:00,7.00,1778,1761,14.305231299999999,25.277422000000005,,122.4,131.2,157.0,,True,True,367.45408,0,04/20/2020 08:45:09 PM ET,4.415836575875481,1192.6614785992217,13.436915601945524,25.135546038910505,95.93268482490272,128.54641148325356,153.82296650717703,169.06666390661474,1.585203591600802,1.4765296201804812,1.0646216530472776,1.0056444352101948,1.275894657002519,1.020643038464688,1.020653830601263,2.173427164819234,1.3278272488658076
304,1,2759701280,Morning Commute: 10/3/2019,2019-10-03 13:29:55+00:00,2.24,629,558,14.44839546,25.501116000000003,,50.4,121.8,143.0,,True,True,0.0,0,04/20/2020 08:45:09 PM ET,4.407403100775189,1190.2015503875969,13.440836066511627,25.136962976744186,95.7562015503876,128.5142857142857,153.77142857142857,168.41136675968986,0.5082357907326475,0.4688281575656524,1.074962553557122,1.0144867549668874,0.5263366673277987,0.9477545575811472,0.9299516908212561,0.0,0.6838195215690639
305,1,2760879179,Evening Commute: 10/3/2019,2019-10-03 22:13:22+00:00,6.76,1861,1559,15.6026565,25.948504,,139.6,137.4,185.0,,True,True,361.220484,1,04/20/2020 08:45:09 PM ET,4.416486486486481,1191.6254826254826,13.449182863552123,25.14009633976834,95.92548262548263,128.55639810426538,153.91943127962085,169.15580350579143,1.5306284805091506,1.3082969630400056,1.1601192918778647,1.0321561082863817,1.455296300619448,1.0687916122895886,1.20192751793577,2.135430629713114,1.3615808630339155
306,1,2762160521,Morning Commute: 10/4/2019,2019-10-04 13:58:32+00:00,3.79,961,873,15.618315080000002,23.935257999999997,,103.7,134.2,165.0,,True,True,115.813652,1,04/20/2020 08:45:09 PM ET,4.414076923076919,1190.4,13.457525679769232,25.135462346153847,95.95538461538462,128.58301886792452,153.97169811320754,168.9506413846153,0.8586166634717608,0.7333669354838709,1.1605636468135518,0.9522505562211191,1.0807105866508473,1.0436836930842712,1.0716255131425771,0.6854880872357909,0.9482882102629736
307,1,2763009987,Evening Commute: 10/4/2019,2019-10-04 21:48:32+00:00,4.03,1362,1089,13.3321624,21.698318,,119.5,125.1,152.0,,True,True,212.27034799999998,0,04/20/2020 08:45:09 PM ET,4.412605363984669,1190.0114942528735,13.457045360689655,25.12229321072797,96.0455938697318,128.56666666666666,153.96244131455398,169.11661727203057,0.9132926395123699,0.9151172112700544,0.9907198826085212,0.8637076965065502,1.2442007507609332,0.9730360383717915,0.9872537659327926,1.2551714398269627,1.0178124280987468
308,1,2766175151,From one Housewarming to Another,2019-10-06 00:29:35+00:00,3.36,5455,1258,9.61660506,21.25093,,68.1,,,,True,False,133.202104,0,04/20/2020 08:45:09 PM ET,4.408587786259536,1190.2709923664122,13.442387191603054,25.107517015267177,95.93893129770993,128.56666666666666,153.96244131455398,168.97953897709917,0.7621488247262033,1.0569021744358684,0.715394142642099,0.8463971163328459,0.7098265436028006,,,0.78827356735807,0.8131570615163145
310,1,2770053558,Morning Commute:10/7/2019,2019-10-07 13:28:27+00:00,2.34,761,682,12.34343492,25.277422000000005,,69.8,,,,True,False,23.950132,0,04/20/2020 08:45:09 PM ET,4.4007224334600705,1188.3384030418251,13.438208665855514,25.108163041825097,95.83954372623573,128.56666666666666,153.96244131455398,168.42809636501892,0.5317308772323942,0.5739105950411636,0.9185327618377314,1.0067411924119243,0.7283006292202588,,,0.14219796172305513,0.6502356695777546
311,1,2771282480,Evening Commute: 10/7/2019,2019-10-07 22:51:01+00:00,6.98,1852,1754,14.32312682,27.066974,,136.4,,,,True,False,367.125996,0,04/20/2020 08:45:09 PM ET,4.410492424242419,1190.4810606060605,13.441560628560609,25.115582780303033,95.99318181818182,128.56666666666666,153.96244131455398,169.18073992424235,1.582589726633289,1.4733539726428393,1.0655851069530007,1.077696433993455,1.4209342519591828,,,2.170022404231095,1.46503031606881
